 * Running on http://127.0.0.1:5000 (Press CTRL+C to quit)
127.0.0.1 - - [25/Nov/2023 23:21:26] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [25/Nov/2023 23:21:28] "POST /start HTTP/1.1" 200 -
127.0.0.1 - - [25/Nov/2023 23:21:42] "POST /stop HTTP/1.1" 200 -
127.0.0.1 - - [25/Nov/2023 23:21:42] "POST /stop HTTP/1.1" 200 -
127.0.0.1 - - [25/Nov/2023 23:21:42] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [25/Nov/2023 23:42:02] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [25/Nov/2023 23:42:09] "POST /start HTTP/1.1" 200 -
127.0.0.1 - - [25/Nov/2023 23:42:12] "POST /stop HTTP/1.1" 200 -
127.0.0.1 - - [25/Nov/2023 23:42:12] "POST /stop HTTP/1.1" 200 -
127.0.0.1 - - [25/Nov/2023 23:42:12] "GET / HTTP/1.1" 200 -
